회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급,업종명,2022년도,2023년도,2024년도,L사회등급,L환경등급,L지배구조등급,L성장성등급,L재무구조등급
현대코퍼레이션,11760,B0,B+,B+,B+,B0,B+,A0,A0,유통업,비,비플러스,비플러스,비플러스,비,비플러스,에이,에이
대교,19680,B0,B+,B+,B0,A0,B+,C0,C0,서비스업,비,비플러스,비플러스,비,에이,비플러스,씨,씨
한솔홈데코,25750,B0,B+,B+,B0,B0,C0,C0,B0,종이목재,비,비플러스,비플러스,비,비,씨,씨,비
동원F&B,49770,B0,B0,B+,B0,A0,C0,B+,A0,음식료품,비,비,비플러스,비,에이,씨,비플러스,에이
LF,93050,B0,B+,B+,B+,A0,A0,B+,B0,섬유의복,비,비플러스,비플러스,비플러스,에이,에이,비플러스,비
후성,93370,B0,B+,B+,B+,C0,D0,B0,C0,화학,비,비플러스,비플러스,비플러스,씨,디,비,씨
현대코퍼레이션홀딩스,227840,B0,B+,B+,B+,C0,B0,C0,C0,유통업,비,비플러스,비플러스,비플러스,씨,비,씨,씨
일동제약,249420,B0,B+,B+,B+,A0,B+,B0,C0,의약품,비,비플러스,비플러스,비플러스,에이,비플러스,비,씨
세아특수강,19440,D0,A0,A0,B+,C0,C0,B0,A0,철강금속,디,에이,에이,비플러스,씨,씨,비,에이
코오롱,2020,C0,B+,A0,B+,C0,B+,A0,B+,기타금융,씨,비플러스,에이,비플러스,씨,비플러스,에이,비플러스
농심,4370,C0,B+,A0,B+,A0,A0,B+,B+,음식료품,씨,비플러스,에이,비플러스,에이,에이,비플러스,비플러스
